Region,SubRegion,Country,City,Airport name,IATA Code
Africa,Western Africa,Guinea-Bissau,Bubaque,Bubaque Airport,BQE
Africa,Western Africa,Liberia,Monrovia,Roberts International Airport,ROB
Africa,Western Africa,Mali,Bamako,Modibo Keita International Airport,BKO
Africa,Western Africa,Mauritania,Nouakchott,Nouakchott–Oumtounsy International Airport,NKC
Africa,Western Africa,Mauritania,Nouadhibou,Nouadhibou International Airport,NDB
Africa,Western Africa,Niger,Niamey,Diori Hamani International Airport,NIM
Africa,Western Africa,Nigeria,Abuja,Nnamdi Azikiwe International Airport,ABV
Africa,Western Africa,Nigeria,Calabar,Margaret Ekpo International Airport,CBQ
Africa,Western Africa,Nigeria,"Asaba, Delta",Asaba International Airport,ABB
Africa,Western Africa,Nigeria,Kano,Mallam Aminu Kano International Airport,KAN
Africa,Western Africa,Nigeria,Lagos,Murtala Muhammed International Airport,LOS
Africa,Western Africa,Nigeria,Port Harcourt,Port Harcourt International Airport,PHC
Africa,Western Africa,Nigeria,Enugu,Akanu Ibiam International Airport,ENU
Africa,Western Africa,Nigeria,Sokoto,Sadiq Abubakar III International Airport,SKO
Africa,Western Africa,"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,Saint Helena Airport,HLE
Africa,Western Africa,Senegal,Dakar,Blaise Diagne International Airport,DSS
Africa,Western Africa,Sierra Leone,Freetown,Lungi International Airport,FNA
Africa,Western Africa,Togo,Lomé,Lomé–Tokoin International Airport,LFW
Americas,Caribbean,Anguilla,The Valley,Clayton J. Lloyd International Airport,AXA
Americas,Caribbean,Antigua and Barbuda,Antigua,V. C. Bird International Airport,ANU
Americas,Caribbean,Aruba,Oranjestad,Queen Beatrix International Airport,AUA
Americas,Caribbean,Bahamas,Nassau,Lynden Pindling International Airport,NAS
Americas,Caribbean,Bahamas,Chub Cay,Chub Cay International Airport,CCZ
Americas,Caribbean,Bahamas,Exuma,Exuma International Airport,GGT
Americas,Caribbean,Bahamas,Freeport,Grand Bahama International Airport,FPO
Americas,Caribbean,Bahamas,South Eleuthera,Rock Sound International Airport,RSD
Americas,Caribbean,Bahamas,Marsh Harbour,Marsh Harbour International Airport,MHH
Americas,Caribbean,Barbados,Bridgetown,Grantley Adams International Airport,BGI
Americas,Caribbean,British Virgin Islands,Road Town,Terrance B. Lettsome International Airport,EIS
Americas,Caribbean,Caribbean Netherlands,Kralendijk,",",Bonaire
Americas,Caribbean,Caribbean Netherlands,"Oranjestad, Sint Eustatius",F. D. Roosevelt Airport,EUX
Americas,Caribbean,Caribbean Netherlands,Saba,Juancho E. Yrausquin Airport,SAB
Americas,Caribbean,Cayman Islands,Cayman Brac,Charles Kirkconnell International Airport,CYB
Americas,Caribbean,Cayman Islands,Georgetown,Owen Roberts International Airport,GCM
Americas,Caribbean,Cuba,Camagüey,Ignacio Agramonte International Airport,CMW
Americas,Caribbean,Cuba,Cayo Coco,Jardines del Rey Airport,CCC
Americas,Caribbean,Cuba,Cayo Largo del Sur,Vilo Acuña Airport,CYO
Americas,Caribbean,Cuba,Cienfuegos,Jaime González Airport,CFG
Americas,Caribbean,Cuba,Havana,José Martí International Airport,HAV
Americas,Caribbean,Cuba,Holguín,Frank País Airport,HOG
Americas,Caribbean,Cuba,Santa Clara,Abel Santamaría Airport,SNU
Americas,Caribbean,Cuba,Santiago de Cuba,Antonio Maceo Airport,SCU
Americas,Caribbean,Cuba,Varadero,Juan Gualberto Gómez Airport,VRA
Americas,Caribbean,Curaçao,Willemstad,Curaçao International Airport,CUR
Americas,Caribbean,Dominica,Roseau,Douglas–Charles Airport,DOM
Americas,Caribbean,Dominican Republic,Barahona,María Montez International Airport,BRX
Americas,Caribbean,Dominican Republic,La Romana,La Romana International Airport,LRM
Americas,Caribbean,Dominican Republic,Punta Cana,Punta Cana International Airport,PUJ
Americas,Caribbean,Dominican Republic,Samana,Samaná El Catey International Airport,AZS
Americas,Caribbean,Dominican Republic,San Felipe de Puerto Plata,Gregorio Luperón International Airport,POP
Americas,Caribbean,Dominican Republic,Santiago de los Caballeros,Cibao International Airport,STI
Americas,Caribbean,Dominican Republic,Santo Domingo,Las Américas International Airport,SDQ
Americas,Caribbean,Grenada,Grenada,Maurice Bishop International Airport,GND
Americas,Caribbean,Guadeloupe,Pointe-à-Pitre,Pointe-à-Pitre International Airport,PTP
Americas,Caribbean,Haiti,Cap-Haïtien,Cap-Haïtien International Airport,CAP
Americas,Caribbean,Haiti,Port-au-Prince,Toussaint Louverture International Airport,PAP
Americas,Caribbean,Jamaica,Kingston,Norman Manley International Airport,KIN
Americas,Caribbean,Jamaica,Montego Bay,Sangster International Airport,MBJ
Americas,Caribbean,Martinique,Fort-de-France,Martinique Aimé Césaire International Airport,FDF
Americas,Caribbean,Montserrat,Brades,John A. Osborne Airport,MNI
Americas,Caribbean,Puerto Rico,Aguadilla,Rafael Hernández Airport,BQN
Americas,Caribbean,Puerto Rico,San Juan,Luis Muñoz Marín International Airport,SJU
Americas,Caribbean,Saint Barthélemy,Saint Jean,Gustaf III Airport,SBH
Americas,Caribbean,Saint Kitts and Nevis,Saint Kitts,Robert L. Bradshaw International Airport,SKB
Americas,Caribbean,Saint Lucia,Vieux Fort Quarter,Hewanorra International Airport,UVF
Americas,Caribbean,Saint Vincent and the Grenadines,Kingstown,Argyle International Airport,SVD
Americas,Caribbean,Saint Vincent and the Grenadines,Canouan,Canouan Airport,CIW
Americas,Caribbean,Sint Maarten,Philipsburg,Princess Juliana International Airport,SXM
Americas,Caribbean,Trinidad and Tobago,Port of Spain,Piarco International Airport,POS
Americas,Caribbean,Trinidad and Tobago,Tobago,A.N.R. Robinson International Airport,TAB
Americas,Caribbean,Turks and Caicos Islands,Providenciales,Providenciales Airport,PLS
Americas,Caribbean,U.S. Virgin Islands,Saint Thomas,Cyril E. King Airport,STT
Americas,Caribbean,U.S. Virgin Islands,Saint Croix,Henry E. Rohlsen Airport,STX
Americas,Central America,Belize,Belize City,Philip S. W. Goldson International Airport,BZE
Americas,Central America,Costa Rica,Liberia,Daniel Oduber Quirós International Airport,LIR
Americas,Central America,Costa Rica,San José,Juan Santamaría International Airport,SJO
Americas,Central America,El Salvador,San Salvador,El Salvador International Airport,SAL
Americas,Central America,Guatemala,Flores,Mundo Maya International Airport,FRS
Americas,Central America,Guatemala,Guatemala City,La Aurora International Airport,GUA
Americas,Central America,Honduras,La Ceiba,Golosón International Airport,LCE
Americas,Central America,Honduras,Roatán,Juan Manuel Gálvez International Airport,RTB
Americas,Central America,Honduras,San Pedro Sula,Ramón Villeda Morales International Airport,SAP
Americas,Central America,Honduras,Tegucigalpa,Toncontín International Airport,TGU
Americas,Central America,Nicaragua,Managua,Augusto C. Sandino International Airport,MGA
Americas,Central America,Nicaragua,Bluefields,Bluefields Airport,BEF
Americas,Central America,Nicaragua,Corn Island,Corn Island Airport,RNI
Americas,Central America,Panama,Bocas del Toro,"Bocas del Toro ""Isla Colón"" International Airport",BOC
